Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Seattle, WA metro area",Jan-23,$720K,1.40%,0.00%,"1,550",-28.00%,-32.00%,"2,051",93.90%,-27.70%,"2,963",-14.80%,166.00%,43,11,37,98.00%,0.20%,-7.00%
"Seattle, WA metro area",Feb-23,$710K,-1.40%,-5.50%,"2,196",41.70%,-19.10%,"2,334",13.80%,-41.00%,"2,609",-11.90%,81.20%,33,-10,28,99.20%,1.20%,-9.40%
"Seattle, WA metro area",Mar-23,$740K,4.20%,-10.30%,"2,874",30.90%,-35.30%,"3,636",55.80%,-36.40%,"3,117",19.50%,45.40%,13,-20,8,100.10%,0.90%,-10.60%
"Seattle, WA metro area",Apr-23,$775K,4.70%,-8.90%,"2,715",-5.50%,-40.30%,"3,275",-9.90%,-42.70%,"3,170",1.70%,1.00%,7,-6,2,101.00%,0.90%,-8.90%
"Seattle, WA metro area",May-23,$800K,3.20%,-6.20%,"3,209",18.20%,-33.70%,"3,867",18.10%,-36.00%,"3,356",5.90%,-17.40%,6,-1,1,101.40%,0.50%,-5.60%
"Seattle, WA metro area",Jun-23,$800K,0.00%,-3.00%,"3,375",5.20%,-26.40%,"3,983",3.00%,-36.40%,"3,746",11.60%,-37.70%,7,1,1,101.20%,-0.20%,-1.70%
"Seattle, WA metro area",Jul-23,$780K,-2.50%,-2.30%,"2,982",-11.60%,-16.50%,"3,469",-12.90%,-30.60%,"3,886",3.70%,-41.70%,8,1,-1,100.80%,-0.40%,0.60%
"Seattle, WA metro area",Aug-23,$788K,1.00%,1.00%,"3,151",5.70%,-17.00%,"3,358",-3.20%,-15.90%,"4,023",3.50%,-34.00%,8,0,-7,100.50%,-0.40%,1.50%
"Seattle, WA metro area",Sep-23,$770K,-2.30%,0.70%,"2,728",-13.40%,-24.70%,"3,409",1.50%,-15.40%,"4,440",10.40%,-29.40%,12,4,-9,100.00%,-0.50%,1.20%
"Seattle, WA metro area",Oct-23,$770K,0.00%,0.30%,"2,601",-4.70%,-12.60%,"2,574",-24.50%,-9.40%,"4,158",-6.40%,-27.10%,12,0,-9,100.00%,0.10%,1.50%
"Seattle, WA metro area",Nov-23,$775K,0.60%,5.00%,"2,200",-15.40%,-12.00%,"1,797",-30.20%,-5.20%,"3,491",-16.00%,-25.30%,17,5,-8,99.50%,-0.50%,1.50%
"Seattle, WA metro area",Dec-23,$750K,-3.20%,5.60%,"1,937",-12.00%,-10.10%,"1,034",-42.50%,-2.30%,"2,418",-30.70%,-30.50%,28,11,-4,99.00%,-0.50%,1.20%
"Seattle, WA metro area",Jan-24,$745K,-0.70%,3.50%,"1,681",-13.20%,8.50%,"2,263",118.90%,10.30%,"2,243",-7.20%,-24.30%,36,8,-7,99.40%,0.40%,1.50%
"Seattle, WA metro area",Feb-24,$798K,7.10%,12.40%,"2,236",33.00%,1.80%,"3,165",39.90%,35.60%,"2,607",16.20%,-0.10%,11,-25,-22,101.20%,1.70%,1.90%
"Seattle, WA metro area",Mar-24,$830K,4.00%,12.20%,"2,760",23.40%,-4.00%,"3,722",17.60%,2.40%,"2,823",8.30%,-9.40%,6,-5,-7,102.00%,0.80%,1.90%
"Seattle, WA metro area",Apr-24,$850K,2.40%,9.70%,"3,181",15.30%,17.20%,"4,229",13.60%,29.10%,"3,304",17.00%,4.20%,6,0,-1,102.60%,0.60%,1.60%
"Seattle, WA metro area",May-24,$860K,1.20%,7.50%,"3,526",10.80%,9.90%,"5,072",19.90%,31.20%,"4,439",34.40%,32.30%,6,0,0,102.30%,-0.30%,0.90%
